stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2020060100 01 1010.7 00011  27.7  24.8 211   0.3  84
466920 2020060100 10 1000.0 00105  26.4  25.0 164   1.1  92
466920 2020060100 02  989.3 00201  25.5  24.9 169   1.1  96
466920 2020060100 10  925.0 00792  23.0  20.6 241   2.0  86
466920 2020060100 04  907.7 00957  21.6  20.2 268   1.5  92
466920 2020060100 06  887.6 01152  21.0  18.5 237   5.1  85
466920 2020060100 10  850.0 01527  18.2  17.1 237  10.1  93
466920 2020060100 02  848.9 01538  18.0  16.8 237  10.6  92
466920 2020060100 02  836.8 01661  18.7  14.8 237  12.0  78
466920 2020060100 06  823.0 01804  18.4  13.9 233  12.4  75
466920 2020060100 06  709.0 03068  11.1   7.1 262  15.1  76
466920 2020060100 10  700.0 03175  10.6   6.5 262  15.3  76
466920 2020060100 02  642.7 03884   7.0   1.3 250  14.9  66
466920 2020060100 02  616.2 04227   5.0   1.4 256  15.7  77
466920 2020060100 02  542.9 05250  -0.6 -11.8 248  16.5  42
466920 2020060100 02  527.6 05478  -2.1 -18.2 245  16.9  27
466920 2020060100 02  521.1 05577  -3.0  -9.5 244  16.7  61
466920 2020060100 06  519.9 05595  -3.1 -12.2 243  16.7  49
466920 2020060100 02  517.9 05626  -3.2 -16.5 244  16.7  34
466920 2020060100 02  516.2 05651  -3.4 -10.2 244  16.8  59
466920 2020060100 02  514.2 05683  -3.5 -14.8 245  16.8  41
466920 2020060100 02  508.7 05767  -4.1 -10.1 246  16.8  62
466920 2020060100 10  500.0 05903  -5.0 -12.1 245  16.3  57
466920 2020060100 02  479.8 06224  -7.4 -12.8 252  16.8  65
466920 2020060100 02  469.9 06389  -8.5 -14.6 255  17.4  61
466920 2020060100 06  458.8 06572  -9.0 -19.7 256  18.1  41
466920 2020060100 02  454.6 06645  -9.0 -22.5 257  17.8  32
466920 2020060100 02  447.2 06770 -10.0 -17.2 256  17.1  55
466920 2020060100 02  407.8 07478 -13.0 -31.3 244  15.8  20
466920 2020060100 10  400.0 07625 -14.1 -30.9 245  16.8  22
466920 2020060100 06  374.3 08128 -17.8 -32.4 236  15.6  26
466920 2020060100 02  365.3 08306 -18.9 -33.9 241  16.5  25
466920 2020060100 02  360.7 08400 -19.8 -25.7 243  15.7  59
466920 2020060100 02  355.6 08509 -20.7 -31.6 241  16.0  37
466920 2020060100 02  350.3 08617 -21.7 -30.3 238  16.1  45
466920 2020060100 02  349.7 08629 -21.8 -28.6 238  16.2  54
466920 2020060100 02  349.1 08642 -21.8 -25.9 238  16.2  69
466920 2020060100 02  347.9 08670 -21.6 -33.6 238  16.4  32
466920 2020060100 02  334.0 08969 -22.4 -41.3 250  14.9  16
466920 2020060100 10  300.0 09747 -28.1 -52.5 249  16.8   7
466920 2020060100 06  291.6 09950 -29.6 -53.7 257  16.6   7
466920 2020060100 02  289.0 10013 -29.6 -56.0 256  16.1   6
466920 2020060100 02  288.4 10029 -29.7 -55.9 255  16.0   6
466920 2020060100 02  258.0 10811 -36.4 -56.5 254  15.6  11
466920 2020060100 10  250.0 11029 -38.5 -50.3 251  16.2  28
466920 2020060100 02  248.1 11084 -39.0 -48.6 250  16.2  36
466920 2020060100 02  245.6 11154 -39.7 -60.9 248  15.9   8
466920 2020060100 02  239.5 11323 -41.2 -46.3 252  13.4  57
466920 2020060100 02  228.4 11644 -44.2 -48.1 246  12.2  65
466920 2020060100 06  226.0 11714 -44.6 -49.2 244  11.5  60
466920 2020060100 02  215.7 12024 -47.0 -57.2 247  14.1  30
466920 2020060100 10  200.0 12517 -51.4 -60.4 257  15.2  34
466920 2020060100 02  186.6 12964 -55.6 -63.5 260  13.1  37
466920 2020060100 02  183.2 13081 -56.5 -60.4 263  12.2  61
466920 2020060100 02  173.5 13425 -59.6 -62.9 266  11.0  66
466920 2020060100 02  172.9 13447 -59.8 -63.2 265  10.7  64
466920 2020060100 06  163.9 13778 -62.2 -67.0 264   9.9  53
466920 2020060100 06  156.6 14057 -64.2 -70.1 247  10.9  45
466920 2020060100 10  150.0 14321 -65.9 -73.3 258  14.3  35
466920 2020060100 06  142.5 14631 -67.9 -76.3 264  15.4  30
466920 2020060100 02  139.7 14753 -67.9 -77.6 259  15.6  25
466920 2020060100 06  119.7 15662 -75.2 -79.0 260  16.3  56
466920 2020060100 02  115.0 15894 -77.0 -79.9 265  15.0  63
466920 2020060100 03  111.3 16082 -78.0 -82.9 274  13.0  46
466920 2020060100 06  108.5 16225 -75.6 -83.9 276  10.0  27
466920 2020060100 02  105.1 16411 -73.3 -86.0 299   7.1  14
466920 2020060100 06  103.4 16506 -73.9 -87.7 311   6.6  11
466920 2020060100 02  100.1 16697 -75.6 -88.8 313   5.0  12
466920 2020060100 10  100.0 16701 -75.6 -88.8 313   5.0  12
466920 2020060100 03   94.4 17032 -78.4 -89.1 235   1.9  17
466920 2020060100 06   84.9 17635 -77.5 -88.6 302   5.0  16
466920 2020060100 06   83.0 17767 -78.3 -88.7 285   5.5  18
466920 2020060100 02   78.6 18074 -79.8 -89.7 332   2.8  19
466920 2020060100 04   72.1 18564 -77.2 -89.9  92   0.7  12
466920 2020060100 06   70.7 18686 -76.7 -90.2  11   5.1  11
466920 2020060100 10   70.0 18738 -76.1 -90.1   5   7.1  10
466920 2020060100 06   69.3 18797 -75.3 -90.2   5   7.4   9
466920 2020060100 06   66.2 19062 -75.4 -91.0  33  10.3   8
466920 2020060100 04   64.7 19194 -74.5 -91.0  57  11.6   7
466920 2020060100 06   62.0 19444 -73.4 -91.1 102  12.7   5
466920 2020060100 06   60.2 19615 -73.0 -91.4 108  10.1   5
466920 2020060100 02   58.8 19751 -73.1 -92.2 101   7.0   4
466920 2020060100 06   57.0 19933 -70.7 -92.5  88   6.0   3
466920 2020060100 06   54.9 20160 -68.2 -92.6 129   8.7   2
466920 2020060100 06   54.0 20255 -68.3 -92.8 127   7.6   2
466920 2020060100 06   52.9 20383 -67.2 -92.6  78   6.8   1
466920 2020060100 06   52.3 20457 -67.3 -92.9  74   8.1   1
466920 2020060100 06   50.7 20644 -65.5 -92.8 101   6.6   1
466920 2020060100 10   50.0 20726 -65.4 -93.0  93   4.7   1
466920 2020060100 04   49.8 20749 -65.4 -93.1  85   4.5   1
466920 2020060100 06   49.0 20846 -64.4 -93.5  62   5.8   1
466920 2020060100 06   47.5 21035 -62.0 -93.5  42   8.8   0
466920 2020060100 02   46.2 21218 -60.1 -92.9  49  13.4   0
466920 2020060100 20   40.7 22002 -61.2 -92.8  74  19.5   0
466920 2020060112 01 1009.6 00011  29.2  24.8 329   0.7  77
466920 2020060112 10 1000.0 00096  28.0  24.5 352   2.8  81
466920 2020060112 02  928.7 00751  22.6  21.9 243   4.7  96
466920 2020060112 06  926.2 00772  22.6  21.4 244   5.0  92
466920 2020060112 10  925.0 00785  22.5  21.4 244   5.1  93
466920 2020060112 06  874.5 01272  18.9  18.2 254   8.4  95
466920 2020060112 06  860.6 01409  18.1  17.0 250   7.0  93
466920 2020060112 10  850.0 01518  17.7  17.6 232   5.5  99
466920 2020060112 02  847.3 01543  17.6  17.6 227   5.4  99
466920 2020060112 06  839.6 01624  17.7  17.7 217   6.0  99
466920 2020060112 06  792.4 02117  15.2  14.5 237   9.2  95
466920 2020060112 06  753.1 02550  13.0  13.0 219   8.8 100
466920 2020060112 06  711.9 03019  10.9   9.1 221  10.5  88
466920 2020060112 10  700.0 03161  10.4   8.0 234   9.5  84
466920 2020060112 06  671.9 03502   9.2   7.4 265  10.6  88
466920 2020060112 02  638.3 03928   6.9   4.3 252   7.9  83
466920 2020060112 02  632.6 04002   7.7   2.6 249   7.1  70
466920 2020060112 06  629.7 04040   7.2   3.0 248   7.0  74
466920 2020060112 06  594.7 04509   3.6   0.6 261   7.5  80
466920 2020060112 02  544.9 05213  -1.7  -2.2 252   9.7  95
466920 2020060112 02  541.2 05268  -2.0  -2.0 252   9.7 100
466920 2020060112 02  522.1 05553  -3.0  -6.6 244   9.8  76
466920 2020060112 10  500.0 05895  -4.3  -6.9 235  10.3  81
466920 2020060112 02  499.7 05900  -4.3  -7.2 235  10.3  79
466920 2020060112 02  495.4 05967  -4.1 -12.8 232  10.8  50
466920 2020060112 06  494.4 05983  -4.1 -12.7 232  10.9  51
466920 2020060112 02  478.9 06235  -5.7 -17.6 232  11.5  38
466920 2020060112 02  446.8 06774  -9.1 -15.0 244  12.8  62
466920 2020060112 02  444.2 06819  -9.3 -20.9 243  12.7  38
466920 2020060112 02  442.1 06858  -9.6 -16.0 241  12.6  59
466920 2020060112 02  418.6 07276 -11.8 -27.6 241  13.2  25
466920 2020060112 02  414.3 07356 -12.1 -26.1 240  13.5  30
466920 2020060112 10  400.0 07623 -13.9 -29.5 244  13.8  25
466920 2020060112 06  371.5 08180 -17.7 -37.2 250  14.8  16
466920 2020060112 06  354.1 08536 -20.1 -40.9 233  16.4  13
466920 2020060112 02  329.6 09063 -23.4 -49.2 241  17.9   7
466920 2020060112 06  322.9 09213 -24.6 -48.3 240  18.4   9
466920 2020060112 02  302.9 09676 -28.2 -47.5 251  14.9  14
466920 2020060112 12  300.0 09745 -28.2 -34.1 255  14.7  57
466920 2020060112 06  275.2 10357 -32.2 -41.2 272  12.0  41
466920 2020060112 02  262.6 10689 -34.6 -46.2 262  12.5  30
466920 2020060112 06  253.0 10947 -36.6 -49.5 246  13.7  25
466920 2020060112 10  250.0 11028 -37.3 -49.9 245  12.9  26
466920 2020060112 06  238.4 11356 -40.2 -52.8 248  11.0  25
466920 2020060112 02  220.3 11885 -44.8 -58.6 250  13.9  20
466920 2020060112 10  200.0 12527 -50.8 -59.1 256  15.0  37
466920 2020060112 02  195.0 12690 -52.4 -57.3 260  14.6  56
466920 2020060112 02  191.0 12823 -53.6 -62.7 260  14.2  32
466920 2020060112 02  185.5 13013 -55.2 -59.5 259  15.7  59
466920 2020060112 02  179.2 13229 -57.1 -62.3 272  17.5  52
466920 2020060112 02  175.0 13380 -57.8 -68.9 279  19.1  23
466920 2020060112 06  166.7 13685 -60.3 -65.7 287  17.8  49
466920 2020060112 02  155.3 14120 -64.4 -68.1 274  16.7  60
466920 2020060112 10  150.0 14328 -65.7 -69.9 269  16.3  56
466920 2020060112 02  136.3 14908 -70.1 -73.1 252  14.5  66
466920 2020060112 06  131.4 15123 -72.1 -75.8 239  14.4  58
466920 2020060112 02  123.0 15516 -74.7 -80.9 260  14.9  39
466920 2020060112 06  122.5 15531 -74.5 -80.6 261  14.5  40
466920 2020060112 06  115.8 15862 -73.2 -81.7 229   8.9  27
466920 2020060112 02  115.5 15877 -73.1 -81.8 229   8.8  27
466920 2020060112 02  110.9 16114 -74.4 -85.2 237   7.5  18
466920 2020060112 06  104.7 16448 -75.9 -85.9 254   7.0  20
466920 2020060112 02  100.1 16708 -76.3 -86.2 241   6.6  21
466920 2020060112 10  100.0 16713 -76.3 -86.2 241   6.6  21
466920 2020060112 06   95.2 16995 -76.6 -87.4 251   7.2  18
466920 2020060112 06   90.6 17278 -77.4 -88.0 296   5.7  18
466920 2020060112 04   86.8 17530 -78.8 -88.8 358   2.5  19
466920 2020060112 06   85.3 17623 -78.9 -89.2  18   5.0  18
466920 2020060112 02   84.4 17688 -79.2 -89.8  13   6.7  17
466920 2020060112 06   82.9 17779 -78.3 -88.9   8   8.2  17
466920 2020060112 02   75.9 18290 -79.4 -90.0  51   5.1  17
466920 2020060112 06   71.8 18608 -78.3 -89.0  90   5.0  17
